x,y
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
3.320367611211881287e-01,8.986174061890597198e-01
9.560648589931051988e-02,3.614261770631688742e-01
3.179209426331097710e-01,7.865326122820146537e-01
2.430005178463320314e-01,7.072040774112267059e-01
4.833409311245385198e-01,6.980966008338619355e-01
